cluster_id	uri	labels	roleTypes	eventTypes
72	https://archief.amsterdam/indexen/deeds/11a839ab-0e49-4ad0-bdaf-96df4a156b76?person=961f6af3-28c3-53f7-e053-b784100aa83b	Jan Makreel	https://data.goldenagents.org/thesaurus/Getuige	https://data.goldenagents.org/thesaurus/Doop
73	https://archief.amsterdam/indexen/deeds/2fb05cb3-448e-4512-b0e3-19809d19de02?person=961f6af7-4796-53f7-e053-b784100aa83b	Maria Geertruij Hopker	https://data.goldenagents.org/thesaurus/Moeder	https://data.goldenagents.org/thesaurus/Doop
73	https://archief.amsterdam/indexen/deeds/c23d24a8-8fdd-4c3a-9a99-f3f33397d718?person=961f6ae2-94be-53f7-e053-b784100aa83b	Maria Geertruij Höpker	https://data.goldenagents.org/thesaurus/Getuige	https://data.goldenagents.org/thesaurus/Doop
74	https://archief.amsterdam/indexen/deeds/83a6b0be-094e-4238-93e0-739afdcd0f8d?person=961f6b01-d103-53f7-e053-b784100aa83b	Arnoldus Grendel	https://data.goldenagents.org/thesaurus/Getuige	https://data.goldenagents.org/thesaurus/Doop
74	https://archief.amsterdam/indexen/deeds/868404d7-4129-46c8-bd7f-a3ac9286c4c7?person=961f6b10-036d-53f7-e053-b784100aa83b	Arnoldus Grendel	https://data.goldenagents.org/thesaurus/Getuige	https://data.goldenagents.org/thesaurus/Doop
81	https://archief.amsterdam/indexen/deeds/b6521511-67d6-424d-86fd-78d458f39332?person=961f6b00-1054-53f7-e053-b784100aa83b	Alida Cornelia van den Broek	https://data.goldenagents.org/thesaurus/Moeder	https://data.goldenagents.org/thesaurus/Doop
81	https://archief.amsterdam/indexen/deeds/46d08daa-ac2a-4307-a98f-59ccda0756e2?person=961f6af1-22d2-53f7-e053-b784100aa83b	Alida Cornelia van den Broek	https://data.goldenagents.org/thesaurus/Getuige	https://data.goldenagents.org/thesaurus/Doop
81	https://archief.amsterdam/indexen/deeds/2c6e69a7-fec5-444f-9138-faac41ae5126?person=961f6ad4-b63b-53f7-e053-b784100aa83b	Alida Cornelia van den Broek	https://data.goldenagents.org/thesaurus/Moeder	https://data.goldenagents.org/thesaurus/Doop
81	https://archief.amsterdam/indexen/deeds/930fb4b3-ae19-408f-b86b-0397bb4a08aa?person=961f6af9-e3f3-53f7-e053-b784100aa83b	Alida Cornelia van den Broek	https://data.goldenagents.org/thesaurus/Moeder	https://data.goldenagents.org/thesaurus/Doop
81	https://archief.amsterdam/indexen/deeds/4e46f91f-6ef4-43f1-8dee-2c4922c58d4e?person=961f6b1a-ea2e-53f7-e053-b784100aa83b	Alida Cornelia van Oosterhout; Oosterhout, Alida Cornelia van	https://data.goldenagents.org/thesaurus/Bruid	https://data.goldenagents.org/thesaurus/Ondertrouw
82	https://archief.amsterdam/indexen/deeds/d210d1e2-1229-4a93-a695-95353c38630b?person=961f6acb-99ba-53f7-e053-b784100aa83b	Abraham Pelt	https://data.goldenagents.org/thesaurus/Getuige	https://data.goldenagents.org/thesaurus/Doop
