c,location,Standardized_Location1,Type_Location1,Link_Location_1_Adamlink,Link_Location_1_Wikidata,Standardized_Location2,Type_Location2,Link_Location_2_Adamlink,Link_Location_2_Wikidata,religion,Location1_Religion1,Location1_Religion2,Location2_Religion1,Location2_Religion2,Remark
4939,https://data.goldenagents.org/thesaurus/KerkLamEnToren,Kerk Lam en Toren,http://www.wikidata.org/entity/Q1817647,https://adamlink.nl/geo/building/singelkerk/119,,,,,,https://data.goldenagents.org/thesaurus/Doopsgezind,https://www.wikidata.org/entity/Q182320,,,,Gegevens Adamlink kunnen worden aangevuld (kerk bestaat niet sinds 1005)
4592,https://data.goldenagents.org/thesaurus/KerkHetHaantje,Kerk Het Haantje,http://www.wikidata.org/entity/Q1817647,https://adamlink.nl/geo/building/museum-ons-lieve-heer-op-solder/116,,,,,,https://data.goldenagents.org/thesaurus/RoomsKatholiek,https://www.wikidata.org/entity/Q1841,,,,
4130,https://data.goldenagents.org/thesaurus/PortugeesIsraelitischeKerk,Portugees-Israëlitische Synagoge,http://www.wikidata.org/entity/Q34627,https://adamlink.nl/geo/building/portugeesisraelitische-synagoge/1239,,,,,,https://data.goldenagents.org/thesaurus/PortugeesIsraelitisch,https://www.wikidata.org/entity/Q110115795,,,,
3939,https://data.goldenagents.org/thesaurus/NieuweWaalseKerk,Nieuwe Waalse Kerk,http://www.wikidata.org/entity/Q34627,,,,,,,https://data.goldenagents.org/thesaurus/WaalsHervormd,https://www.wikidata.org/entity/Q2244918,,,,
3696,https://data.goldenagents.org/thesaurus/Begijnhofkerk,Begijnhofkapel,http://www.wikidata.org/entity/Q1817647,,,,,,,https://data.goldenagents.org/thesaurus/RoomsKatholiek,https://www.wikidata.org/entity/Q1841,,,,Kerk zou nog aan Adamlink kunnen worden toegevoegd
3654,https://data.goldenagents.org/thesaurus/OudezijdsKapel,Oudezijds Kapel,http://www.wikidata.org/entity/Q34627,https://adamlink.nl/geo/building/sint-olofskapel/174,,,,,,https://data.goldenagents.org/thesaurus/Hervormd,https://www.wikidata.org/entity/Q515880,https://www.wikidata.org/entity/Q1841,,,
3575,https://data.goldenagents.org/thesaurus/HersteldEvangelischLutherseKerk,Hersteld Lutherse Kerk,http://www.wikidata.org/entity/Q34627,,,,,,,https://data.goldenagents.org/thesaurus/HersteldEvangelischLuthers,http://www.wikidata.org/entity/Q112796391,,,,
3409,https://data.goldenagents.org/thesaurus/KerkAanHuis,,,,,,,,,https://data.goldenagents.org/thesaurus/HersteldEvangelischLuthers,http://www.wikidata.org/entity/Q112796391,,,,
3278,https://data.goldenagents.org/thesaurus/KerkDePapegaai,Kerk De Papegaai,http://www.wikidata.org/entity/Q1817647,https://www.adamlink.nl/geo/building/de-papegaai/1437,http://www.wikidata.org/entity/Q2102894,,,,,https://data.goldenagents.org/thesaurus/RoomsKatholiek,https://www.wikidata.org/entity/Q1841,,,,
2975,https://data.goldenagents.org/thesaurus/KerkDeZaaijer,Kerk De Zaaijer,http://www.wikidata.org/entity/Q1817647,https://adamlink.nl/geo/building/ignatius/641,,,,,,https://data.goldenagents.org/thesaurus/RoomsKatholiek,https://www.wikidata.org/entity/Q1841,,,,
2956,https://data.goldenagents.org/thesaurus/Maagdenhuis,Kerk in 't Maagdenhuis,http://www.wikidata.org/entity/Q1817647,,,,,,,https://data.goldenagents.org/thesaurus/RoomsKatholiek,https://www.wikidata.org/entity/Q1841,,,,Kerk zou nog aan Adamlink kunnen worden toegevoegd
2426,https://data.goldenagents.org/thesaurus/KerkAanHuis,,,,,,,,,https://data.goldenagents.org/thesaurus/Remonstrant,https://www.wikidata.org/entity/Q284561,,,,
2378,https://data.goldenagents.org/thesaurus/SintNicolaaskerk,Sint Nicolaaskerk,http://www.wikidata.org/entity/Q1817647,https://adamlink.nl/geo/building/sint-nicolaaskerk-i/1434,,Sint Nicolaaskerk,http://www.wikidata.org/entity/Q34627,https://adamlink.nl/geo/building/sint-nicolaaskerk-ii/1435,,https://data.goldenagents.org/thesaurus/OudKatholiek,https://www.wikidata.org/entity/Q1841,,https://www.wikidata.org/entity/Q1841,https://www.wikidata.org/entity/Q5169816,
